id,shape,price,carat,cut,color,clarity,report,type
10035067,10,16580,2.5,5,1,2,1,2
9994307,2,16590,2.23,4,4,3,1,2
10033783,10,16590,2.29,5,1,6,1,2
10006337,9,16600,2.0,3,3,4,1,2
9956358,10,16610,1.81,5,7,2,1,2
10079906,2,16610,2.0,5,4,5,1,2
10016319,6,16610,2.01,5,6,1,1,2
10087073,10,16620,2.0,5,2,5,1,2
9261951,1,16620,2.02,5,5,4,1,2
10054102,6,16630,2.01,5,2,3,1,2
10053734,8,16630,2.21,4,6,2,1,2
9859839,10,16640,1.8,5,3,6,1,2
10067458,10,16650,1.17,5,7,7,1,2
9948626,10,16650,2.01,5,2,3,1,2
10089834,6,16650,1.9,4,4,3,1,2
10024841,10,16670,2.01,5,2,2,1,2
10092190,2,16670,2.51,3,7,1,1,2
10005837,8,16680,2.2,5,3,5,1,2
9948371,10,16690,2.0,3,6,2,1,2
10023171,7,16700,2.0,5,3,2,1,2
10090350,1,16700,2.02,5,4,5,1,2
10081469,3,16710,2.01,5,3,6,1,2
10073101,6,16710,2.01,5,5,1,1,2
9898625,6,16720,1.9,5,5,2,1,2
10079092,10,16730,1.76,5,4,3,1,2
10078719,10,16730,1.5,5,5,5,1,2
10090369,3,16740,2.2,3,4,2,1,2
9948359,6,16740,2.01,3,5,2,1,2
10006158,10,16750,2.51,3,2,1,1,2
10022300,10,16760,2.2,5,1,5,1,2
10024758,8,16760,2.0,5,4,3,1,2
10090309,3,16770,2.6,2,2,2,1,2
10022442,3,16780,2.01,4,7,2,1,2
10023156,10,16780,2.2,5,2,1,1,2
10065249,8,16780,2.5,5,2,2,1,2
9955405,10,16780,1.43,5,5,6,1,2
9898258,10,16790,2.94,4,3,1,3,2
10012924,6,16800,2.0,3,3,2,1,2
9808365,8,16800,2.52,5,5,1,1,2
9960524,10,16810,1.4,5,7,7,1,2
10088723,10,16810,2.2,5,2,1,1,2
10072340,8,16810,2.01,5,6,3,1,2
10017771,6,16840,2.51,5,1,1,1,2
10017210,6,16850,1.8,4,7,2,1,2
9925957,10,16850,1.0,5,7,8,1,2
9829997,2,16860,2.02,4,5,3,1,2
10025247,10,16860,1.71,5,7,3,1,2
9827900,10,16860,1.09,5,7,7,1,2
10080162,10,16860,1.5,5,6,4,1,2
10089450,10,16870,1.9,5,3,3,1,2
9975468,10,16870,2.55,5,1,1,1,2
10080906,7,16870,2.0,3,5,2,1,2
10006223,10,16880,1.0,5,7,8,1,2
10022995,10,16890,1.9,5,4,2,1,2
10087986,10,16890,1.5,5,7,5,1,2
9909057,10,16890,1.01,5,7,7,1,2
10000440,10,16900,2.0,5,3,3,1,2
10048100,10,16900,1.01,5,7,7,1,2
9975475,10,16900,1.8,5,7,2,1,2
9887115,2,16900,2.0,5,4,4,1,2
10089332,6,16910,2.2,5,2,2,1,2
9968915,10,16920,1.85,5,4,3,1,2
9968134,2,16920,2.03,5,5,3,1,2
10022586,10,16940,1.0,5,7,7,1,2
9968287,10,16950,2.0,5,4,1,1,2
9919525,10,16950,1.82,5,4,3,1,2
10088780,10,16950,1.5,5,5,5,1,2
10023965,10,16950,1.5,5,6,4,1,2
9917133,10,16950,2.31,5,7,1,1,2
9839703,10,16960,1.8,5,5,3,1,2
10051835,6,16960,2.01,5,6,2,1,2
10087097,2,16960,2.01,5,4,6,1,2
10063328,2,16970,2.5,5,5,1,1,2
10052071,10,16970,1.9,5,4,2,1,2
9711134,10,16970,2.03,5,6,2,1,2
10020506,10,16980,2.03,5,6,1,1,2
10079144,10,16990,2.21,5,2,4,1,2
10089149,10,16990,2.11,5,2,2,1,2
10092079,10,17000,2.0,3,6,2,1,2
10023695,6,17000,2.0,5,7,1,1,2
10072022,8,17010,2.51,4,3,2,1,2
9728642,10,17020,1.09,5,7,8,1,2
9875256,8,17020,2.01,5,5,2,1,2
10038720,10,17020,2.1,5,1,7,1,2
10043949,2,17020,2.23,4,4,1,1,2
9725989,3,17030,1.8,5,6,4,1,2
9260433,1,17050,1.8,5,6,6,1,2
9930909,8,17050,2.5,5,2,3,1,2
10036629,6,17060,2.21,4,6,1,1,2
9991401,8,17060,3.01,4,3,1,3,2
9642509,10,17060,2.0,5,5,2,1,2
10068697,9,17080,2.3,2,3,4,1,2
10051737,2,17090,2.0,4,7,2,1,2
10071964,2,17090,2.01,5,4,5,1,2
9978972,2,17090,2.5,2,3,2,1,2
10070683,8,17100,2.21,5,3,2,1,2
10062160,8,17110,2.06,4,7,3,1,2
9973979,10,17110,2.01,5,2,3,1,2
